author.headline,author.profile_url,author.username,full_urn,post_type,posted_at.date,posted_at.timestamp,stats.celebrate,stats.comments,stats.funny,stats.insight,stats.like,stats.love,stats.reposts,stats.support,stats.total_reactions,text,url,author.full_name,processed_text,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_compound,sentiment_label
Entrepreneur| Investments at Rainmatter | Endurance athlete,https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY,dilipevs,urn:li:ugcPost:7312341890484289538,regular,2025-03-31 07:16:14,1743398174821,6,8,1,0,189,32,3,1,229,From facing financial hardships and societal rejection to winning gold for India. Conversation with Navdeep Singh,https://www.linkedin.com/posts/dilipevs_from-facing-financial-hardships-and-societal-activity-7312341938244829184-HTmy?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGEeiloBmkZ8ZCccA8Ma0SR3CJTUPo9wcrA,Dilip Kumar,from facing financial hardships and societal rejection to winning gold for india conversation with navdeep singh,0.167,0.67,0.163,-0.0258,Neutral
Entrepreneur| Investments at Rainmatter | Endurance athlete,https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY,dilipevs,urn:li:activity:7307992167640113155,regular,2025-03-19 06:11:48,1742361108694,2,60,0,24,366,31,10,8,431,"Everyone today loves this grand narrative that ""Tech will fix everything"". Every week a news article or investor confidently declares that tech will fix healthcare & most entrepreneurs fall for this illusion of disruption. This narrative is doing more harm than good.

Most entrepreneurs today think, if we can build a beautifully designed app, use AI to chat, automate doctor-patient interactions, and scale it to millions of users, we can ""solve"" healthcare. 

It sounds great in a pitch deck. It almost never works in reality.

Why? Because healthcare isn't e-commerce. You can’t scale a hospital bed like a food delivery fleet. You can’t disrupt chronic disease with a better UI. You can’t solve trust with a chatbot. Healthcare isn’t a transaction, it’s a relationship.

If you're serious about fixing healthcare, start thinking from first principles.

Everyone wants to build the “Uber of Healthcare.” But Uber works because a ride from point A to B is a simple transaction. Healthcare isn’t. You can’t just match a patient with a doctor and assume the job is done. Don't build a generic doctor consultation app with a new UI or a marketplace that lists thousand doctor names. Focus on depth of care, outcomes, and follow-up treatments before chasing millions of users. Build a connected system that only focuses on driving outcomes.

Don't over focus on AI without fixing the basics. AI can help a doctor diagnose faster. But it can’t replace the doctor. Yet, doctors alone won’t solve India’s healthcare crisis. They also need trained frontline workers assisted by smart tech. Build AI tools to assist doctors enable faster diagnoses. Don't oversell your AI engine or LLM models to a patient. 

It doesn’t matter if we have the best doctor or AI engine if the right medicine isn’t available. Up to 20% of medicines sold in India are fake or substandard. Counterfeit drugs are a massive problem & the Pharma companies are growing this $58 billion market. Perhaps a great usecase to use AI and tech to streamline the supply chain. 

So, can tech fix healthcare? Yes. 
But not by replacing doctors, hospitals, or traditional care systems. The biggest healthcare opportunities in India are not about disruption but augmentation.

Tech alone won’t fix Indian healthcare. But finding the right places to apply can make a 10x difference. Healthcare isn’t an industry that gets ""disrupted"" overnight. But it can be upgraded piece by piece, solving for what really matters. And if you understand that, you’ll build something that actually works.",https://www.linkedin.com/posts/dilipevs_everyone-today-loves-this-grand-narrative-activity-7307992167640113155-6kKh?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGEeiloBmkZ8ZCccA8Ma0SR3CJTUPo9wcrA,Dilip Kumar,everyone today loves this grand narrative that tech will fix everything every week a news article or investor confidently declares that tech will fix healthcare most entrepreneurs fall for this illusion of disruption this narrative is doing more harm than good most entrepreneurs today think if we can build a beautifully designed app use ai to chat automate doctorpatient interactions and scale it to millions of users we can solve healthcare it sounds great in a pitch deck it almost never works in reality why because healthcare isnt ecommerce you cant scale a hospital bed like a food delivery fleet you cant disrupt chronic disease with a better ui you cant solve trust with a chatbot healthcare isnt a transaction its a relationship if youre serious about fixing healthcare start thinking from first principles everyone wants to build the uber of healthcare but uber works because a ride from point a to b is a simple transaction healthcare isnt you cant just match a patient with a doctor and assume the job is done dont build a generic doctor consultation app with a new ui or a marketplace that lists thousand doctor names focus on depth of care outcomes and followup treatments before chasing millions of users build a connected system that only focuses on driving outcomes dont over focus on ai without fixing the basics ai can help a doctor diagnose faster but it cant replace the doctor yet doctors alone wont solve indias healthcare crisis they also need trained frontline workers assisted by smart tech build ai tools to assist doctors enable faster diagnoses dont oversell your ai engine or llm models to a patient it doesnt matter if we have the best doctor or ai engine if the right medicine isnt available up to of medicines sold in india are fake or substandard counterfeit drugs are a massive problem the pharma companies are growing this billion market perhaps a great usecase to use ai and tech to streamline the supply chain so can tech fix healthcare yes but not by replacing doctors hospitals or traditional care systems the biggest healthcare opportunities in india are not about disruption but augmentation tech alone wont fix indian healthcare but finding the right places to apply can make a x difference healthcare isnt an industry that gets disrupted overnight but it can be upgraded piece by piece solving for what really matters and if you understand that youll build something that actually works,0.067,0.788,0.145,0.9865,Positive
Entrepreneur| Investments at Rainmatter | Endurance athlete,https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY,dilipevs,urn:li:activity:7298932594161725441,regular,2025-02-22 06:12:18,1740201138058,11,207,5,146,2814,62,89,143,3181,"Gopi is right. The reality is brutal—less than 1% of aspiring athletes make it big, and even those who do are left with little security once their careers are over. Sports, like startups, have a power law distribution—10% of players make 90% of the money. Everyone else is a statistic.

We love to read and watch the underdog story—the kid from nowhere who makes it to the top. But that’s survivorship bias. For every one success, there are tens of thousands who trained just as hard but got nothing. The real question is: why does sports have to be a gamble?

 If you’re not in the top 1%, you don’t get sponsorships, you don’t have financial security, and once your career ends—usually in your late 20’s or early 30s—you’re left scrambling for what’s next.

In developed nations, sports is a structured industry. There are leagues, second-tier careers, college scholarships, and post-career pathways. 

If you don’t become an Olympic champion, you can still earn a living as a coach, analyst, trainer, or minor league player. The system doesn’t discard you the moment you’re not in the top 1%.

The problem isn’t that sports is hard—it’s that failure is absolute. An engineer who fails at a startup can get a job. A failed athlete? They often have nothing. That’s why in most countries without strong sports ecosystems, success in sports correlates with wealth. You can’t afford to be an athlete unless you can afford to lose.

Right now, telling a poor kid to pursue sports is like telling them to buy lottery tickets as an investment strategy. Until we change that, Gopi’s words will remain true. And that’s a failure—not of the athletes, but of the system.

A great sports system doesn’t just create champions—it creates a nation of resilient, disciplined, and competitive people. And that’s the foundation of real development.",https://www.linkedin.com/posts/dilipevs_gopi-is-right-the-reality-is-brutalless-activity-7298932594161725441-N31J?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGEeiloBmkZ8ZCccA8Ma0SR3CJTUPo9wcrA,Dilip Kumar,gopi is right the reality is brutalless than of aspiring athletes make it big and even those who do are left with little security once their careers are over sports like startups have a power law distribution of players make of the money everyone else is a statistic we love to read and watch the underdog storythe kid from nowhere who makes it to the top but thats survivorship bias for every one success there are tens of thousands who trained just as hard but got nothing the real question is why does sports have to be a gamble if youre not in the top you dont get sponsorships you dont have financial security and once your career endsusually in your late s or early syoure left scrambling for whats next in developed nations sports is a structured industry there are leagues secondtier careers college scholarships and postcareer pathways if you dont become an olympic champion you can still earn a living as a coach analyst trainer or minor league player the system doesnt discard you the moment youre not in the top the problem isnt that sports is hardits that failure is absolute an engineer who fails at a startup can get a job a failed athlete they often have nothing thats why in most countries without strong sports ecosystems success in sports correlates with wealth you cant afford to be an athlete unless you can afford to lose right now telling a poor kid to pursue sports is like telling them to buy lottery tickets as an investment strategy until we change that gopis words will remain true and thats a failurenot of the athletes but of the system a great sports system doesnt just create championsit creates a nation of resilient disciplined and competitive people and thats the foundation of real development,0.095,0.753,0.153,0.9601,Positive
Entrepreneur| Investments at Rainmatter | Endurance athlete,https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY,dilipevs,urn:li:activity:7297481352231165952,regular,2025-02-18 06:05:35,1739855135019,14,212,2,117,1124,112,44,21,1390,"Building a business in preventive health is hard. No one tells you this upfront. I learned it the hard way, first as a founder, now as an investor.

You’ve chosen the harder game. Not because prevention doesn’t work, but because people don’t pay for it. Most wake up thinking about chai, parathas , deadlines, and school fees. Not long-term health. People today want instant gratification—sugar today, gym tomorrow.

Curative health makes money because illness is urgent. No one postpones a bypass surgery or negotiates an ICU bill. But prevention? Everyone hunts for gym discounts, coupon codes for healthy food and thinks twice before paying for a fitness program.

Hospitals & pharma companies thrive because they sell relief from suffering. And suffering is a guaranteed market—prevention is not.

That’s why venture money chases curative health—it scales fast with clear unit economics, solving problems people can’t ignore. Asking someone to eat better, sleep more, and exercise for a payoff 5–10 years later is like selling an FD over a lottery ticket. So accept this reality and build accordingly.

Yet, prevention is the hardest problem and the biggest untaped opportunity.
#1 Healthcare in India will shift to prevention-not because people suddenly care, but because not caring is becoming too expensive. 

#2 Your market isn’t TAM, it’s WTM (willing-to-pay market). Everyone should care about health, but few will pay for it.To go mass-market, make it cheaper than chai and as seamless as WhatsApp.

#3 If you’re selling prevention, reposition it. People don’t buy prevention. They buy status, performance, and convenience. Make it aspirational & competitive.

#4 Trust in health isn’t built overnight. People won’t change their habits because you raised venture money. You’re in the business of delayed gratification. That means slow &sustainable growth.

#5 If your product doesn’t make people healthier or keep them engaged long-term, the number of app downloads doesn't matter. Focus on retention, real outcomes and revenue—not GMV, DAUs or metrics to make a pitch deck look good. 

If you can do this, you won’t just build a business—you’ll change how India thinks about health. And that’s worth building for.",https://www.linkedin.com/posts/dilipevs_building-a-business-in-preventive-health-activity-7297481352231165952-Brku?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGEeiloBmkZ8ZCccA8Ma0SR3CJTUPo9wcrA,Dilip Kumar,building a business in preventive health is hard no one tells you this upfront i learned it the hard way first as a founder now as an investor youve chosen the harder game not because prevention doesnt work but because people dont pay for it most wake up thinking about chai parathas deadlines and school fees not longterm health people today want instant gratificationsugar today gym tomorrow curative health makes money because illness is urgent no one postpones a bypass surgery or negotiates an icu bill but prevention everyone hunts for gym discounts coupon codes for healthy food and thinks twice before paying for a fitness program hospitals pharma companies thrive because they sell relief from suffering and suffering is a guaranteed marketprevention is not thats why venture money chases curative healthit scales fast with clear unit economics solving problems people cant ignore asking someone to eat better sleep more and exercise for a payoff years later is like selling an fd over a lottery ticket so accept this reality and build accordingly yet prevention is the hardest problem and the biggest untaped opportunity healthcare in india will shift to preventionnot because people suddenly care but because not caring is becoming too expensive your market isnt tam its wtm willingtopay market everyone should care about health but few will pay for itto go massmarket make it cheaper than chai and as seamless as whatsapp if youre selling prevention reposition it people dont buy prevention they buy status performance and convenience make it aspirational competitive trust in health isnt built overnight people wont change their habits because you raised venture money youre in the business of delayed gratification that means slow sustainable growth if your product doesnt make people healthier or keep them engaged longterm the number of app downloads doesnt matter focus on retention real outcomes and revenuenot gmv daus or metrics to make a pitch deck look good if you can do this you wont just build a businessyoull change how india thinks about health and thats worth building for,0.087,0.728,0.185,0.9907,Positive
Entrepreneur| Investments at Rainmatter | Endurance athlete,https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY,dilipevs,urn:li:activity:7290235387468267520,regular,2025-01-29 06:12:42,1738127562396,0,60,0,35,370,22,22,35,462,"Child obesity growth in India for last 25 years. Please don’t make your kids a profit machine to processed & packaged food industry. 27 million kids under the age of 18 are overweight or obese in India. 
We’ve to fix it.

#1 Don’t outsource their health to the system. The government, schools, and corporations don’t care about your child’s health. You as the parent will have to take the responsibility.

#2 Play & sports is nature’s way of making kids fit. Kids are meant to run, climb & move. Don’t force them to sit for hours and then doom them to screen addiction.

#3 Parents think kids should ‘want’ to exercise or eat well. But waiting for motivation is a trap. Set rules. No junk food in the house. Stock the kitchen with real food.

#4 The mainstream food industry is a trap. Ads target kids. It’s all designed for short-term profit at the cost of lifelong disease. Don’t wait for policy changes. Teach your kids to think independently about health. 

Your child’s health is a function of their habits, not their genes. Fix the inputs, and the outputs take care of themselves.",https://www.linkedin.com/posts/dilipevs_child-obesity-growth-in-india-for-last-25-activity-7290235387468267520-ioSp?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGEeiloBmkZ8ZCccA8Ma0SR3CJTUPo9wcrA,Dilip Kumar,child obesity growth in india for last years please dont make your kids a profit machine to processed packaged food industry million kids under the age of are overweight or obese in india weve to fix it dont outsource their health to the system the government schools and corporations dont care about your childs health you as the parent will have to take the responsibility play sports is natures way of making kids fit kids are meant to run climb move dont force them to sit for hours and then doom them to screen addiction parents think kids should want to exercise or eat well but waiting for motivation is a trap set rules no junk food in the house stock the kitchen with real food the mainstream food industry is a trap ads target kids its all designed for shortterm profit at the cost of lifelong disease dont wait for policy changes teach your kids to think independently about health your childs health is a function of their habits not their genes fix the inputs and the outputs take care of themselves,0.088,0.819,0.093,-0.2631,Negative
Entrepreneur| Investments at Rainmatter | Endurance athlete,https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY,dilipevs,urn:li:activity:7284487034633601093,regular,2025-01-13 09:30:48,1736757048281,40,74,0,2,395,33,1,5,475,Alcohol consumption amongst Indian men is decreasing.,https://www.linkedin.com/posts/dilipevs_alcohol-consumption-amongst-indian-men-is-activity-7284487034633601093-joEN?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGEeiloBmkZ8ZCccA8Ma0SR3CJTUPo9wcrA,Dilip Kumar,alcohol consumption amongst indian men is decreasing,0.0,1.0,0.0,0.0,Neutral
Entrepreneur| Investments at Rainmatter | Endurance athlete,https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY,dilipevs,urn:li:activity:7279724087365513218,regular,2024-12-31 06:04:33,1735621473161,6,190,0,3,465,42,11,20,536,"Founders and startups solving for health in India, there are 1.4 billion people waiting for you to help them. Let 2025 be the year of impact. 

Tell in few lines what you are building & solving in health. Anything that makes Indians healthy and fit both mentally and physically. 

Customers, partners & investors will be reading this. 
Share about your product or services in the comment section. Make it short and precise that someone becomes interested to connect with you. 

Good luck to everyone for a healthy 2025!
We all are cheering for you at Rainmatter by Zerodha",https://www.linkedin.com/posts/dilipevs_founders-and-startups-solving-for-health-activity-7279724087365513218-Webg?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGEeiloBmkZ8ZCccA8Ma0SR3CJTUPo9wcrA,Dilip Kumar,founders and startups solving for health in india there are billion people waiting for you to help them let be the year of impact tell in few lines what you are building solving in health anything that makes indians healthy and fit both mentally and physically customers partners investors will be reading this share about your product or services in the comment section make it short and precise that someone becomes interested to connect with you good luck to everyone for a healthy we all are cheering for you at rainmatter by zerodha,0.0,0.731,0.269,0.9794,Positive
Entrepreneur| Investments at Rainmatter | Endurance athlete,https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY,dilipevs,urn:li:activity:7272967478652104704,regular,2024-12-12 14:36:12,1734010572112,72,5,0,0,425,46,10,2,545,Gukesh becomes the youngest World Chess Champion in history. Millions of kids in India will get inspired today. The era of Indian chess is here 🇮🇳,https://www.linkedin.com/posts/dilipevs_gukesh-becomes-the-youngest-world-chess-champion-activity-7272967478652104704-Vurs?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGEeiloBmkZ8ZCccA8Ma0SR3CJTUPo9wcrA,Dilip Kumar,gukesh becomes the youngest world chess champion in history millions of kids in india will get inspired today the era of indian chess is here,0.0,0.764,0.236,0.7964,Positive
Entrepreneur| Investments at Rainmatter | Endurance athlete,https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY,dilipevs,urn:li:activity:7269582781670723585,regular,2024-12-03 06:26:37,1733203597467,12,16,0,3,355,21,1,3,394,"By end of this year we will have invested in 35+ companies addressing health challenges in India- all within the last 18 months. India has many healthcare problems and I’m convinced the future lies with entrepreneurs trying to reduce the country’s disease burden.

Have met over 600+ startups solving for health across all categories. In next few weeks, I’ll open source everything I’ve observed and learnt from the startups we invested or not. 

We’ve a community for enthusiasts in health and pretty active. For builders of all kind. Come hangout with us at discuss.rainmatter.com",https://www.linkedin.com/posts/dilipevs_by-end-of-this-year-we-will-have-invested-activity-7269582781670723585-Sr6H?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGEeiloBmkZ8ZCccA8Ma0SR3CJTUPo9wcrA,Dilip Kumar,by end of this year we will have invested in companies addressing health challenges in india all within the last months india has many healthcare problems and im convinced the future lies with entrepreneurs trying to reduce the countrys disease burden have met over startups solving for health across all categories in next few weeks ill open source everything ive observed and learnt from the startups we invested or not weve a community for enthusiasts in health and pretty active for builders of all kind come hangout with us at discussrainmattercom,0.103,0.729,0.167,0.7096,Positive
Entrepreneur| Investments at Rainmatter | Endurance athlete,https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY,dilipevs,urn:li:ugcPost:7264142585634406401,regular,2024-11-18 06:09:14,1731906554275,20,47,1,0,496,33,2,3,553,"An evening with 150+ entrepreneurs who want to help Indians stay healthy and fit.

We wanted to create a space for builders and entrepreneurs. No panel or expert talks but unfiltered conversations to learn and unlearn. 

Bring a bunch of founders under one roof, let them talk to each other, give no gyaan and magic will happen.

This year we met 300+ entrepreneurs across three cities doing these meet ups. Hope to continue doing this next year in more cities and meet more builders. 

If you are a founder or aspiring to be, and want to build and solve for health issues in India, come hangout with us here https://lnkd.in/gt3DNhap . Ask us what help you need and we will try to cheer for you. 
Rainmatter by Zerodha",https://www.linkedin.com/posts/dilipevs_an-evening-with-150-entrepreneurs-who-want-activity-7264142588222291968-qP2L?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGEeiloBmkZ8ZCccA8Ma0SR3CJTUPo9wcrA,Dilip Kumar,an evening with entrepreneurs who want to help indians stay healthy and fit we wanted to create a space for builders and entrepreneurs no panel or expert talks but unfiltered conversations to learn and unlearn bring a bunch of founders under one roof let them talk to each other give no gyaan and magic will happen this year we met entrepreneurs across three cities doing these meet ups hope to continue doing this next year in more cities and meet more builders if you are a founder or aspiring to be and want to build and solve for health issues in india come hangout with us here ask us what help you need and we will try to cheer for you rainmatter by zerodha,0.032,0.795,0.173,0.9455,Positive
Entrepreneur| Investments at Rainmatter | Endurance athlete,https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY,dilipevs,urn:li:activity:7263417762633388032,regular,2024-11-16 06:09:02,1731733742388,4,27,7,3,611,48,1,18,691,,https://www.linkedin.com/posts/dilipevs_activity-7263417762633388032-lQLJ?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGEeiloBmkZ8ZCccA8Ma0SR3CJTUPo9wcrA,Dilip Kumar,,0.0,0.0,0.0,0.0,Neutral
Entrepreneur| Investments at Rainmatter | Endurance athlete,https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY,dilipevs,urn:li:activity:7261965818689724416,regular,2024-11-12 05:59:31,1731387571976,6,50,2,7,1141,163,11,65,1384,"Being a parent is so underrated. Come home to a child who has no clue how busy your day was, how long you were stuck in traffic, how many meetings you did. All it expects is your undivided attention. 

You are left with no energy but your heart wants to win this before the day ends.

The only way to play this game is to stay healthy & fit. This is the only way you will be around your family as long as you want.",https://www.linkedin.com/posts/dilipevs_being-a-parent-is-so-underrated-come-home-activity-7261965818689724416-fukA?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGEeiloBmkZ8ZCccA8Ma0SR3CJTUPo9wcrA,Dilip Kumar,being a parent is so underrated come home to a child who has no clue how busy your day was how long you were stuck in traffic how many meetings you did all it expects is your undivided attention you are left with no energy but your heart wants to win this before the day ends the only way to play this game is to stay healthy fit this is the only way you will be around your family as long as you want,0.049,0.762,0.189,0.9371,Positive
Entrepreneur| Investments at Rainmatter | Endurance athlete,https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY,dilipevs,urn:li:activity:7260511431043788801,regular,2024-11-08 05:40:18,1731040818940,2,43,1,4,324,14,1,8,353,Don’t play these games. It’s not worth it.,https://www.linkedin.com/posts/dilipevs_dont-play-these-games-its-not-worth-it-activity-7260511431043788801-KpsH?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGEeiloBmkZ8ZCccA8Ma0SR3CJTUPo9wcrA,Dilip Kumar,dont play these games its not worth it,0.382,0.618,0.0,-0.4023,Negative
Entrepreneur| Investments at Rainmatter | Endurance athlete,https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY,dilipevs,urn:li:activity:7259082264444116992,regular,2024-11-04 07:01:19,1730700079070,4,101,0,0,452,14,8,12,482,"Entrepreneurs- if you’re building products to help people stay healthy this meetup is for you. Rainmatter is a venture fund supporting companies making products that helps Indians to stay healthy, mentally and physically.

This is the first time we’re doing a meetup in Bangalore. The last two was in Delhi and Mumbai and it was was super fun.

This is going to be casual gathering to meet founders, builders and creators building solutions in healthcare. Don’t expect panel sessions or any gyaan by experts :). The real value is in meeting other builders and exchanging notes from their experiences. You could be building in nutrition, health tech, sports or fitness. We can use the time to exchange notes and brainstorm on any problem statement you've in your startup/product. We will share our thoughts and observations of having invested in 25+ companies in health. 

Date : 8th November. Exact venue will be sent post signup. 

Register here to attend the event : https://lu.ma/x1r4hd4m

If you know any founder in Bangalore who could come, pls share it with them. 
See you soon :)",https://www.linkedin.com/posts/dilipevs_entrepreneurs-if-youre-building-products-activity-7259082264444116992-1IaC?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGEeiloBmkZ8ZCccA8Ma0SR3CJTUPo9wcrA,Dilip Kumar,entrepreneurs if youre building products to help people stay healthy this meetup is for you rainmatter is a venture fund supporting companies making products that helps indians to stay healthy mentally and physically this is the first time were doing a meetup in bangalore the last two was in delhi and mumbai and it was was super fun this is going to be casual gathering to meet founders builders and creators building solutions in healthcare dont expect panel sessions or any gyaan by experts the real value is in meeting other builders and exchanging notes from their experiences you could be building in nutrition health tech sports or fitness we can use the time to exchange notes and brainstorm on any problem statement youve in your startupproduct we will share our thoughts and observations of having invested in companies in health date th november exact venue will be sent post signup register here to attend the event if you know any founder in bangalore who could come pls share it with them see you soon,0.014,0.809,0.177,0.9794,Positive
Entrepreneur| Investments at Rainmatter | Endurance athlete,https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY,dilipevs,urn:li:activity:7253998285718241281,regular,2024-10-21 07:19:24,1729487964086,4,58,0,9,326,32,6,16,387,"Entrepreneurs and builders in healthcare, i've 15 words for you.
Prevent, don’t treat
Engage, don’t shout
Prove, don’t promise
Empower, don’t instruct
Simplify, don’t complicate

Will elaborate- 
Prevent, don’t treat – Focus on preventive care, it’s where the future lies.
Engage, don’t shout – Build meaningful conversations, not just sales 
Empower, don’t instruct – Deliver users with knowledge, not rules or features.
Simplify, don’t complicate- Make staying health easy, not overwhelming.
Prove, don’t promise – Focus on showing validation to your claims and not marketing. 

https://x.com/kmr_dilip",https://www.linkedin.com/posts/dilipevs_entrepreneurs-and-builders-in-healthcare-activity-7253998285718241281-CSZY?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGEeiloBmkZ8ZCccA8Ma0SR3CJTUPo9wcrA,Dilip Kumar,entrepreneurs and builders in healthcare ive words for you prevent dont treat engage dont shout prove dont promise empower dont instruct simplify dont complicate will elaborate prevent dont treat focus on preventive care its where the future lies engage dont shout build meaningful conversations not just sales empower dont instruct deliver users with knowledge not rules or features simplify dont complicate make staying health easy not overwhelming prove dont promise focus on showing validation to your claims and not marketing,0.185,0.727,0.089,-0.789,Negative
