urn,full_urn,posted_at,text,url,post_type,author,stats,media,pagination_token,article,reshared_post,document
"{'activity_urn': '7365618821707071488', 'share_urn': '7365618821207883778', 'ugcPost_urn': None}",urn:li:activity:7365618821707071488,"{'date': '2025-08-25 07:39:33', 'relative': '3 months ago • Visible to anyone on or off LinkedIn', 'timestamp': 1756100373675}","Every day I see posts about why people want to leave India. India isn’t perfect, but no country is. I think before self driving cars or AI chips, we first need to improve quality of life here. 

Imagine if more of us built tools for public good in health & climate that make daily life better. Rainmatter/Zerodha will back and build this together.

What’s one problem you face daily that you wish had a simple solution?",https://www.linkedin.com/posts/dilipevs_every-day-i-see-posts-about-why-people-want-activity-7365618821707071488-I7jd?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCAEu0BbKiDpa8cqr7EW4NkR5exUjrsREo,regular,"{'first_name': 'Dilip', 'last_name': 'Kumar', 'headline': 'Entrepreneur| Investments at Rainmatter | Endurance athlete', 'username': 'dilipevs', 'profile_url': 'https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY', 'profile_picture': 'https://media.licdn.com/dms/image/v2/D5603AQGhtlx4qkgbNA/profile-displayphoto-shrink_800_800/B56ZbsD5pbGsAc-/0/1747717168115?e=1766620800&v=beta&t=MfjX7_IgEVzFDR_n1LA_BxYhfx5O8AlGEhfVQkzTrEk'}","{'total_reactions': 722, 'like': 639, 'support': 36, 'love': 32, 'insight': 5, 'celebrate': 8, 'funny': 2, 'comments': 267, 'reposts': 5}",,dXJuOmxpOmFjdGl2aXR5OjczMjM1NjcxNTYxNzkyMDYxNDgtMTc0NjA3NDQ3NTIwOA==,,,
"{'activity_urn': '7364895796640583681', 'share_urn': None, 'ugcPost_urn': '7364895752025804800'}",urn:li:ugcPost:7364895752025804800,"{'date': '2025-08-23 07:46:31', 'relative': '3 months ago • Visible to anyone on or off LinkedIn', 'timestamp': 1755927991066}",There is only one way to challenge Nithin Kamath. Some folks tried it. This is what happened.,https://www.linkedin.com/posts/dilipevs_there-is-only-one-way-to-challenge-nithin-activity-7364895796640583681-KnUe?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCAEu0BbKiDpa8cqr7EW4NkR5exUjrsREo,regular,"{'first_name': 'Dilip', 'last_name': 'Kumar', 'headline': 'Entrepreneur| Investments at Rainmatter | Endurance athlete', 'username': 'dilipevs', 'profile_url': 'https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY', 'profile_picture': 'https://media.licdn.com/dms/image/v2/D5603AQGhtlx4qkgbNA/profile-displayphoto-shrink_800_800/B56ZbsD5pbGsAc-/0/1747717168115?e=1766620800&v=beta&t=MfjX7_IgEVzFDR_n1LA_BxYhfx5O8AlGEhfVQkzTrEk'}","{'total_reactions': 3930, 'like': 3529, 'support': 16, 'love': 258, 'insight': 4, 'celebrate': 119, 'funny': 4, 'comments': 119, 'reposts': 15}","{'type': 'video', 'url': 'https://dms.licdn.com/playlist/vid/v2/D5605AQHvzhLk3v3Xpw/mp4-720p-30fp-crf28/B56ZjVdgBHHMB4-/0/1755927989245?e=1765551600&v=beta&t=iWfAZj0O7KTmbOex3iMxRl910o1eF8eg4fQN5eOKz8k', 'thumbnail': 'https://media.licdn.com/dms/image/v2/D5605AQHvzhLk3v3Xpw/videocover-high/B56ZjVdgBHHMCQ-/0/1755927982242?e=1765551600&v=beta&t=QwbbHJoerX9o0Kp9T9nP-Bz7Zbic2rCeN36Obg4QpHc'}",dXJuOmxpOmFjdGl2aXR5OjczMjM1NjcxNTYxNzkyMDYxNDgtMTc0NjA3NDQ3NTIwOA==,,,
"{'activity_urn': '7363802411771047938', 'share_urn': '7363802410072342528', 'ugcPost_urn': None}",urn:li:activity:7363802411771047938,"{'date': '2025-08-20 07:21:47', 'relative': '3 months ago • Visible to anyone on or off LinkedIn', 'timestamp': 1755667307799}","I’ve never shared this before. We keep glamorizing entrepreneurship with stories of valuations, big exits & high salaries. But i hate to say this, for most founders the journey will look nothing like that. And you’ve to internalise this for your own mental health. 

Media will write about high salaries of unicorn founders and the 50cr apartment they bought. Many folks read this and see entrepreneurship as a gateway to quick wealth. Nothing wrong with that aspiration though. 

Till the age of 40 (in 2023), my average salary as an entrepreneur was ~30k/month. Barely had any savings across 15 years of entrepreneurship.

Did that really work out? Out of three startups, one barely paid for the five years I gave it. The other two shut down.

Only in the last 2 years did I start seeing a six figure salary for the first time in my career.

Oh, and in 2018, every bank rejected my home loan because a founder was considered a “risk profile.” I had to borrow from an NBFC at 12%.

I’m not sharing this to scare people. Just don’t let that what you read online get to your head.

Entrepreneurship looks glamorous in hindsight. In reality, it’s years of uncertainty, low pay, and stubborn belief. But if you stay long enough in the game, sometimes it pays back in ways you never imagined.

For me, what I get to do now was never part of the bucket list. But entrepreneurship created a pathway.

I read this somewhere- we need innovators, but we also need martyrs. And that’s a painful badge.",https://www.linkedin.com/posts/dilipevs_ive-never-shared-this-before-we-keep-glamorizing-activity-7363802411771047938-2sz4?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCAEu0BbKiDpa8cqr7EW4NkR5exUjrsREo,regular,"{'first_name': 'Dilip', 'last_name': 'Kumar', 'headline': 'Entrepreneur| Investments at Rainmatter | Endurance athlete', 'username': 'dilipevs', 'profile_url': 'https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY', 'profile_picture': 'https://media.licdn.com/dms/image/v2/D5603AQGhtlx4qkgbNA/profile-displayphoto-shrink_800_800/B56ZbsD5pbGsAc-/0/1747717168115?e=1766620800&v=beta&t=MfjX7_IgEVzFDR_n1LA_BxYhfx5O8AlGEhfVQkzTrEk'}","{'total_reactions': 2311, 'like': 1899, 'support': 159, 'love': 188, 'insight': 44, 'celebrate': 21, 'funny': 0, 'comments': 255, 'reposts': 44}",,dXJuOmxpOmFjdGl2aXR5OjczMjM1NjcxNTYxNzkyMDYxNDgtMTc0NjA3NDQ3NTIwOA==,,,
"{'activity_urn': '7363088962380328961', 'share_urn': '7363088961449177088', 'ugcPost_urn': None}",urn:li:activity:7363088962380328961,"{'date': '2025-08-18 08:06:48', 'relative': '3 months ago • Visible to anyone on or off LinkedIn', 'timestamp': 1755497208209}",15months back i told a founder to not raise VC money. Yesterday he emailed me saying they’re profitable and on track to do $2M. Sharing this here as a reminder that not every founder needs an investor. Some just need to hear the truth and have the belief. Be like Sid!,https://www.linkedin.com/posts/dilipevs_15months-back-i-told-a-founder-to-not-raise-activity-7363088962380328961-W2kv?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCAEu0BbKiDpa8cqr7EW4NkR5exUjrsREo,regular,"{'first_name': 'Dilip', 'last_name': 'Kumar', 'headline': 'Entrepreneur| Investments at Rainmatter | Endurance athlete', 'username': 'dilipevs', 'profile_url': 'https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY', 'profile_picture': 'https://media.licdn.com/dms/image/v2/D5603AQGhtlx4qkgbNA/profile-displayphoto-shrink_800_800/B56ZbsD5pbGsAc-/0/1747717168115?e=1766620800&v=beta&t=MfjX7_IgEVzFDR_n1LA_BxYhfx5O8AlGEhfVQkzTrEk'}","{'total_reactions': 1196, 'like': 1017, 'support': 9, 'love': 106, 'insight': 5, 'celebrate': 58, 'funny': 1, 'comments': 32, 'reposts': 3}","{'type': 'image', 'url': 'https://media.licdn.com/dms/image/v2/D5622AQGETn6JREOmng/feedshare-shrink_1280/B56Zi7yZEKHkAk-/0/1755497207425?e=1766620800&v=beta&t=iRrbS2c0jtZ4El_wJmq1NDaN9f27k8t-4e5Uqt0qFrw', 'images': [{'url': 'https://media.licdn.com/dms/image/v2/D5622AQGETn6JREOmng/feedshare-shrink_1280/B56Zi7yZEKHkAk-/0/1755497207425?e=1766620800&v=beta&t=iRrbS2c0jtZ4El_wJmq1NDaN9f27k8t-4e5Uqt0qFrw', 'width': 1170, 'height': 1317}]}",dXJuOmxpOmFjdGl2aXR5OjczMjM1NjcxNTYxNzkyMDYxNDgtMTc0NjA3NDQ3NTIwOA==,,,
"{'activity_urn': '7362363470073249796', 'share_urn': None, 'ugcPost_urn': '7362363410270883840'}",urn:li:ugcPost:7362363410270883840,"{'date': '2025-08-16 08:03:57', 'relative': '3 months ago • Visible to anyone on or off LinkedIn', 'timestamp': 1755324237364}","Run slow. Run fast. Run happy. Run sad. 
Run angry. Run tired. Run alone. Just Run",https://www.linkedin.com/posts/dilipevs_run-slow-run-fast-run-happy-run-sad-activity-7362363470073249796-sZf_?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCAEu0BbKiDpa8cqr7EW4NkR5exUjrsREo,regular,"{'first_name': 'Dilip', 'last_name': 'Kumar', 'headline': 'Entrepreneur| Investments at Rainmatter | Endurance athlete', 'username': 'dilipevs', 'profile_url': 'https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY', 'profile_picture': 'https://media.licdn.com/dms/image/v2/D5603AQGhtlx4qkgbNA/profile-displayphoto-shrink_800_800/B56ZbsD5pbGsAc-/0/1747717168115?e=1766620800&v=beta&t=MfjX7_IgEVzFDR_n1LA_BxYhfx5O8AlGEhfVQkzTrEk'}","{'total_reactions': 2018, 'like': 1771, 'support': 23, 'love': 190, 'insight': 2, 'celebrate': 31, 'funny': 1, 'comments': 106, 'reposts': 17}","{'type': 'video', 'url': 'https://dms.licdn.com/playlist/vid/v2/D5605AQG5Fuhz4mLCZg/mp4-720p-30fp-crf28/B56ZixegyqHcBw-/0/1755324233218?e=1765548000&v=beta&t=BvAFJOlU72JRjk_ojhsGBLDlMDbfAwPabCtwGuE4YBo', 'thumbnail': 'https://media.licdn.com/dms/image/v2/D5605AQG5Fuhz4mLCZg/videocover-high/B56ZixegyqHcCI-/0/1755324231016?e=1765548000&v=beta&t=hve56H9EVNK7nmq4p93-TJR0PGMlW-pidPCCm64fQ-c'}",dXJuOmxpOmFjdGl2aXR5OjczMjM1NjcxNTYxNzkyMDYxNDgtMTc0NjA3NDQ3NTIwOA==,,,
"{'activity_urn': '7361626545095921664', 'share_urn': '7361626544361926657', 'ugcPost_urn': None}",urn:li:activity:7361626545095921664,"{'date': '2025-08-14 07:15:40', 'relative': '3 months ago • Visible to anyone on or off LinkedIn', 'timestamp': 1755148540758}","Most AI health apps in India die because they’re over engineered & lack context . I’ve seen 100s of pitch decks and 90% won’t survive past downloads. Not because AI isn’t powerful, but founders chase the wrong use case. Sharing notes so we can build better.

1) Most copy US models built for digitized EMRs and dump it into India, where 90% of records are on paper. AI outside the doctor patient flow is useless. Clinicians are burnt out and AI must make them faster, not force them to learn another software.

2) It’s a foolish assumption to think patients will log in daily. In India, 80% patients are episodic & they show up sick & vanish when better. Retention needs habit + urgency, and you can’t build habit if your app doesn’t solve a daily pain point.

3) Everyone boasts “Our AI predicts disease before symptoms.” That’s not a feature, it’s a liability. In healthcare, trust is the product and one wrong prediction and you’ve lost it for good. Especially in a low trust market, this backfires. 

4) AI isn’t free. Most app position it like that. In a price sensitive market like India, no one will pay 500 bucks/month for “insights” when a real GP costs 500/ visit.  AI can augment, but it can’t replace human trust and follow up.

If you really want to solve for Healthcare using AI then integrate into existing healthcare touchpoints.
Make AI invisible and just make the care feel faster, cheaper, more accurate. Build trust as your moat.",https://www.linkedin.com/posts/dilipevs_most-ai-health-apps-in-india-die-because-activity-7361626545095921664-wlYr?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCAEu0BbKiDpa8cqr7EW4NkR5exUjrsREo,regular,"{'first_name': 'Dilip', 'last_name': 'Kumar', 'headline': 'Entrepreneur| Investments at Rainmatter | Endurance athlete', 'username': 'dilipevs', 'profile_url': 'https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY', 'profile_picture': 'https://media.licdn.com/dms/image/v2/D5603AQGhtlx4qkgbNA/profile-displayphoto-shrink_800_800/B56ZbsD5pbGsAc-/0/1747717168115?e=1766620800&v=beta&t=MfjX7_IgEVzFDR_n1LA_BxYhfx5O8AlGEhfVQkzTrEk'}","{'total_reactions': 524, 'like': 450, 'support': 8, 'love': 23, 'insight': 41, 'celebrate': 2, 'funny': 0, 'comments': 73, 'reposts': 7}",,dXJuOmxpOmFjdGl2aXR5OjczMjM1NjcxNTYxNzkyMDYxNDgtMTc0NjA3NDQ3NTIwOA==,,,
"{'activity_urn': '7361273451770175489', 'share_urn': '7361273451220717568', 'ugcPost_urn': None}",urn:li:activity:7361273451770175489,"{'date': '2025-08-13 07:52:36', 'relative': '3 months ago • Visible to anyone on or off LinkedIn', 'timestamp': 1755064356749}","Someone should do this. A Y Combinator for non-profits. Core promise is non-profits can have the same early stage acceleration model that startups have for mentorship, network access, and funding. Many well intentioned foundations never scale because they don’t know how to navigate fundraising, operations, or storytelling. 

Measuring success in impact vs revenue is tricky but someone can create robust & transparent frameworks.",https://www.linkedin.com/posts/dilipevs_someone-should-do-this-a-y-combinator-for-activity-7361273451770175489-JWAX?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCAEu0BbKiDpa8cqr7EW4NkR5exUjrsREo,regular,"{'first_name': 'Dilip', 'last_name': 'Kumar', 'headline': 'Entrepreneur| Investments at Rainmatter | Endurance athlete', 'username': 'dilipevs', 'profile_url': 'https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY', 'profile_picture': 'https://media.licdn.com/dms/image/v2/D5603AQGhtlx4qkgbNA/profile-displayphoto-shrink_800_800/B56ZbsD5pbGsAc-/0/1747717168115?e=1766620800&v=beta&t=MfjX7_IgEVzFDR_n1LA_BxYhfx5O8AlGEhfVQkzTrEk'}","{'total_reactions': 376, 'like': 320, 'support': 22, 'love': 30, 'insight': 1, 'celebrate': 2, 'funny': 1, 'comments': 85, 'reposts': 3}",,dXJuOmxpOmFjdGl2aXR5OjczMjM1NjcxNTYxNzkyMDYxNDgtMTc0NjA3NDQ3NTIwOA==,,,
"{'activity_urn': '7360538503241195521', 'share_urn': '7360538502763040768', 'ugcPost_urn': None}",urn:li:activity:7360538503241195521,"{'date': '2025-08-11 07:12:11', 'relative': '3 months ago • Visible to anyone on or off LinkedIn', 'timestamp': 1754889131365}","At Rainmatter-Zerodha, we’re keen to meet people building or passionate about Deeptech in India. The last 15 yrs were consumer apps. The next wave is Deeptech moats. If we don’t build this now, we’ll be depending on others for what matters most. 

Who should we talk and learn from?",https://www.linkedin.com/posts/dilipevs_at-rainmatter-zerodha-were-keen-to-meet-activity-7360538503241195521-NJ2h?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCAEu0BbKiDpa8cqr7EW4NkR5exUjrsREo,regular,"{'first_name': 'Dilip', 'last_name': 'Kumar', 'headline': 'Entrepreneur| Investments at Rainmatter | Endurance athlete', 'username': 'dilipevs', 'profile_url': 'https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY', 'profile_picture': 'https://media.licdn.com/dms/image/v2/D5603AQGhtlx4qkgbNA/profile-displayphoto-shrink_800_800/B56ZbsD5pbGsAc-/0/1747717168115?e=1766620800&v=beta&t=MfjX7_IgEVzFDR_n1LA_BxYhfx5O8AlGEhfVQkzTrEk'}","{'total_reactions': 443, 'like': 413, 'support': 6, 'love': 14, 'insight': 3, 'celebrate': 6, 'funny': 1, 'comments': 97, 'reposts': 4}",,dXJuOmxpOmFjdGl2aXR5OjczMjM1NjcxNTYxNzkyMDYxNDgtMTc0NjA3NDQ3NTIwOA==,,,
"{'activity_urn': '7360175277022330880', 'share_urn': '7360175276070219776', 'ugcPost_urn': None}",urn:li:activity:7360175277022330880,"{'date': '2025-08-10 07:08:51', 'relative': '3 months ago • Visible to anyone on or off LinkedIn', 'timestamp': 1754802531486}","This is the Rainmatter by Zerodha team. Invested in 140+ startups in India. Learning with founders & always curious. If you’re a founder building in Health, Fitness, Sports, Climate, Fintech or Deeptech- this is a team you should have by your side. Cheering for you.",https://www.linkedin.com/posts/dilipevs_this-is-the-rainmatter-by-zerodha-team-invested-activity-7360175277022330880-KEbc?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCAEu0BbKiDpa8cqr7EW4NkR5exUjrsREo,regular,"{'first_name': 'Dilip', 'last_name': 'Kumar', 'headline': 'Entrepreneur| Investments at Rainmatter | Endurance athlete', 'username': 'dilipevs', 'profile_url': 'https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY', 'profile_picture': 'https://media.licdn.com/dms/image/v2/D5603AQGhtlx4qkgbNA/profile-displayphoto-shrink_800_800/B56ZbsD5pbGsAc-/0/1747717168115?e=1766620800&v=beta&t=MfjX7_IgEVzFDR_n1LA_BxYhfx5O8AlGEhfVQkzTrEk'}","{'total_reactions': 895, 'like': 808, 'support': 6, 'love': 49, 'insight': 0, 'celebrate': 32, 'funny': 0, 'comments': 52, 'reposts': 0}","{'type': 'image', 'url': 'https://media.licdn.com/dms/image/v2/D5622AQG9ZeuedDt2qg/feedshare-shrink_2048_1536/B56ZiSYZTeG0Ao-/0/1754802530444?e=1766620800&v=beta&t=7Riq17WPP7KbyDK6yt6iPLTaiH8TejXlJjr3JQFKltg', 'images': [{'url': 'https://media.licdn.com/dms/image/v2/D5622AQG9ZeuedDt2qg/feedshare-shrink_2048_1536/B56ZiSYZTeG0Ao-/0/1754802530444?e=1766620800&v=beta&t=7Riq17WPP7KbyDK6yt6iPLTaiH8TejXlJjr3JQFKltg', 'width': 2048, 'height': 1535}]}",dXJuOmxpOmFjdGl2aXR5OjczMjM1NjcxNTYxNzkyMDYxNDgtMTc0NjA3NDQ3NTIwOA==,,,
"{'activity_urn': '7359087694993395712', 'share_urn': '7359087694347456512', 'ugcPost_urn': None}",urn:li:activity:7359087694993395712,"{'date': '2025-08-07 07:07:11', 'relative': '3 months ago • Visible to anyone on or off LinkedIn', 'timestamp': 1754543231724}","Someone I know recently lost a family member. The medical bills crossed 20 lakh in just four weeks and only half was covered by insurance and now the family is in debt. This is the sad part of our healthcare system. If we truly want to improve quality of life in India, we must start by making healthcare accessible and affordable.

I’m not an economist, but after working with many healthcare founders, one thing is obvious that our low public health spending means poor access and families paying from their own pockets often go into debt.

Look at the numbers-India spends just 3.3% of its GDP on healthcare. In comparison: the US spends 17–20%, the UK 11%, China 7.7%, and Japan 8%. Even smaller economies like Thailand 4.3%, Vietnam 5.9% and Brazil 9.5% are ahead of us.

We lag far behind both in terms of GDP share and per capita health spending. What’s worse is, most healthcare costs in India are paid directly by households. The only way to bring balance is by significantly increasing public health spending by the government. 

We need to make primary healthcare truly universal across every city and village. Expand public health programs so no one lives in fear of hospital bills. And most importantly, regulate private healthcare to ensure price transparency, medical accountability, and protection of the poorest from predatory billing.

Affordable, accessible healthcare doesn’t just save lives. It protects families from poverty.",https://www.linkedin.com/posts/dilipevs_someone-i-know-recently-lost-a-family-member-activity-7359087694993395712--h0c?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCAEu0BbKiDpa8cqr7EW4NkR5exUjrsREo,regular,"{'first_name': 'Dilip', 'last_name': 'Kumar', 'headline': 'Entrepreneur| Investments at Rainmatter | Endurance athlete', 'username': 'dilipevs', 'profile_url': 'https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY', 'profile_picture': 'https://media.licdn.com/dms/image/v2/D5603AQGhtlx4qkgbNA/profile-displayphoto-shrink_800_800/B56ZbsD5pbGsAc-/0/1747717168115?e=1766620800&v=beta&t=MfjX7_IgEVzFDR_n1LA_BxYhfx5O8AlGEhfVQkzTrEk'}","{'total_reactions': 481, 'like': 410, 'support': 56, 'love': 12, 'insight': 2, 'celebrate': 1, 'funny': 0, 'comments': 79, 'reposts': 15}",,dXJuOmxpOmFjdGl2aXR5OjczMjM1NjcxNTYxNzkyMDYxNDgtMTc0NjA3NDQ3NTIwOA==,,,
"{'activity_urn': '7358360930704867328', 'share_urn': '7358360930201600001', 'ugcPost_urn': None}",urn:li:activity:7358360930704867328,"{'date': '2025-08-05 06:59:17', 'relative': '4 months ago • Visible to anyone on or off LinkedIn', 'timestamp': 1754369957615}","Met two 20yo founders from Pune building a toy company. Why? To make kids break free from screen addiction. Not typical toys but the ones that make learning fun. 

They are making money, profitable and growing crazy. Manufacturing everything from India. 20year olds solving for a problem that almost everyone is ignoring. 

This is the kind of entrepreneurship we need more in India and should celebrate.",https://www.linkedin.com/posts/dilipevs_met-two-20yo-founders-from-pune-building-activity-7358360930704867328-5fAu?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCAEu0BbKiDpa8cqr7EW4NkR5exUjrsREo,regular,"{'first_name': 'Dilip', 'last_name': 'Kumar', 'headline': 'Entrepreneur| Investments at Rainmatter | Endurance athlete', 'username': 'dilipevs', 'profile_url': 'https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY', 'profile_picture': 'https://media.licdn.com/dms/image/v2/D5603AQGhtlx4qkgbNA/profile-displayphoto-shrink_800_800/B56ZbsD5pbGsAc-/0/1747717168115?e=1766620800&v=beta&t=MfjX7_IgEVzFDR_n1LA_BxYhfx5O8AlGEhfVQkzTrEk'}","{'total_reactions': 4232, 'like': 3781, 'support': 59, 'love': 220, 'insight': 11, 'celebrate': 159, 'funny': 2, 'comments': 197, 'reposts': 13}",,dXJuOmxpOmFjdGl2aXR5OjczMjM1NjcxNTYxNzkyMDYxNDgtMTc0NjA3NDQ3NTIwOA==,,,
"{'activity_urn': '7357997583023165440', 'share_urn': '7357997582578561024', 'ugcPost_urn': None}",urn:li:activity:7357997583023165440,"{'date': '2025-08-04 06:55:28', 'relative': '4 months ago • Edited • Visible to anyone on or off LinkedIn', 'timestamp': 1754283328777}","At this point i feel there are more protein brands than protein consumers 😅

Every protein brand is now- Lab tested, doctor recommended & clinically backed.

By 2026, every Indian will either launch a protein powder or be in one 😀

As a consumer, sure eat appropriate protein. But do it with purpose, not propaganda. Nutrition isn’t about being part of a trend.",https://www.linkedin.com/posts/dilipevs_at-this-point-i-feel-there-are-more-protein-activity-7357997583023165440-AKTe?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCAEu0BbKiDpa8cqr7EW4NkR5exUjrsREo,regular,"{'first_name': 'Dilip', 'last_name': 'Kumar', 'headline': 'Entrepreneur| Investments at Rainmatter | Endurance athlete', 'username': 'dilipevs', 'profile_url': 'https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY', 'profile_picture': 'https://media.licdn.com/dms/image/v2/D5603AQGhtlx4qkgbNA/profile-displayphoto-shrink_800_800/B56ZbsD5pbGsAc-/0/1747717168115?e=1766620800&v=beta&t=MfjX7_IgEVzFDR_n1LA_BxYhfx5O8AlGEhfVQkzTrEk'}","{'total_reactions': 1049, 'like': 780, 'support': 14, 'love': 8, 'insight': 5, 'celebrate': 0, 'funny': 242, 'comments': 162, 'reposts': 5}",,dXJuOmxpOmFjdGl2aXR5OjczMjM1NjcxNTYxNzkyMDYxNDgtMTc0NjA3NDQ3NTIwOA==,,,
"{'activity_urn': '7357651616834994177', 'share_urn': None, 'ugcPost_urn': '7357651615987748868'}",urn:li:ugcPost:7357651615987748868,"{'date': '2025-08-03 08:00:44', 'relative': '4 months ago • Visible to anyone on or off LinkedIn', 'timestamp': 1754200844010}","There’s no better dopamine hit than sweating it out with founders on a weekend morning. Building endurance and strength together. We love this at Rainmatter- Zerodha. 

Founders peak in Mumbai was amazing yesterday. 

Bangalore, Gurgaon, and Mumbai is done. 

Should we rinse and repeat?
Or bring into a new city?",https://www.linkedin.com/posts/dilipevs_theres-no-better-dopamine-hit-than-sweating-activity-7357651616834994177-EqdB?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCAEu0BbKiDpa8cqr7EW4NkR5exUjrsREo,regular,"{'first_name': 'Dilip', 'last_name': 'Kumar', 'headline': 'Entrepreneur| Investments at Rainmatter | Endurance athlete', 'username': 'dilipevs', 'profile_url': 'https://www.linkedin.com/in/dilipevs?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAABll5IBLSjIvTtdv-7G24ZqrORIfrfIaTY', 'profile_picture': 'https://media.licdn.com/dms/image/v2/D5603AQGhtlx4qkgbNA/profile-displayphoto-shrink_800_800/B56ZbsD5pbGsAc-/0/1747717168115?e=1766620800&v=beta&t=MfjX7_IgEVzFDR_n1LA_BxYhfx5O8AlGEhfVQkzTrEk'}","{'total_reactions': 501, 'like': 462, 'support': 1, 'love': 24, 'insight': 0, 'celebrate': 14, 'funny': 0, 'comments': 59, 'reposts': 6}","{'type': 'images', 'url': 'https://media.licdn.com/dms/image/v2/D5622AQFHBmPhXEOMxw/feedshare-shrink_2048_1536/B56Zhug2TQHkAo-/0/1754200841269?e=1766620800&v=beta&t=c-gMiw_ykpn8MHNC0V-BUnAeO7lPkRlL3mlHBSSe5U8', 'images': [{'url': 'https://media.licdn.com/dms/image/v2/D5622AQFHBmPhXEOMxw/feedshare-shrink_2048_1536/B56Zhug2TQHkAo-/0/1754200841269?e=1766620800&v=beta&t=c-gMiw_ykpn8MHNC0V-BUnAeO7lPkRlL3mlHBSSe5U8', 'width': 2048, 'height': 1362}, {'url': 'https://media.licdn.com/dms/image/v2/D5622AQENm4IaNDf3Ow/feedshare-shrink_2048_1536/B56Zhug2TAHMAo-/0/1754200827127?e=1766620800&v=beta&t=RdKO9tRk4ykGO0ImXeBt2FJKExbgVFbXZt0wHMZUjy8', 'width': 2048, 'height': 1362}, {'url': 'https://media.licdn.com/dms/image/v2/D5622AQEHY3rfQxPaSw/feedshare-shrink_2048_1536/B56Zhug2S6HQAo-/0/1754200836160?e=1766620800&v=beta&t=30g9apGY4xeeJV5lV1PaZS58dJ_i_eEofN5khCqujTE', 'width': 2048, 'height': 1362}, {'url': 'https://media.licdn.com/dms/image/v2/D5622AQF7llEtD1p4-w/feedshare-shrink_2048_1536/B56Zhug2TcHkAo-/0/1754200841891?e=1766620800&v=beta&t=1O5ozQTt-T2_uCgw0MdMWABCZfoUd7GfZAS2DRDZGY8', 'width': 2048, 'height': 1365}]}",dXJuOmxpOmFjdGl2aXR5OjczMjM1NjcxNTYxNzkyMDYxNDgtMTc0NjA3NDQ3NTIwOA==,,,
